股票代码,股票简称,最新价,最新涨跌幅,个股热度[20250529],个股热度排名[20250529],market_code,code,rank,short_name,price,change,change_pct,触及跌停,最近触及日期
002639,雪人股份,11.35,9.980620155,560975.5,1,33,002639,1,雪人股份,11.35,1.13273,9.98,False,
002366,融发核电,7.49,9.985315712,544164.0,2,33,002366,2,融发核电,7.49,0.7482510000000001,9.99,False,
002365,永安药业,24.63,10.00446628,484333.0,3,33,002365,4,永安药业,24.63,2.4629999999999996,10.0,False,
002471,中超控股,5.51,-3.333333333,431927.5,4,33,002471,9,中超控股,5.51,-0.18348299999999998,-3.33,False,
603011,合锻智能,17.81,10.006176652,404339.5,5,17,603011,5,合锻智能,17.81,1.782781,10.01,False,
000903,云内动力,5.05,10.021786492,399666.5,6,33,000903,3,云内动力,5.05,0.50601,10.02,False,
002735,王子新材,19.86,5.582137161,379311.5,7,33,002735,8,王子新材,19.86,1.108188,5.58,False,
002427,尤夫股份,10.69,9.979423868,348534.0,8,33,002427,6,尤夫股份,10.69,1.066862,9.98,False,
000695,滨海能源,15,9.970674487,341284.0,9,33,000695,13,滨海能源,15.0,1.4955,9.97,False,
603333,尚纬股份,9.05,9.963547995,317779.0,10,17,603333,25,尚纬股份,9.05,0.9013800000000002,9.96,False,
603390,通达电气,15.96,9.993108201,312834.0,11,17,603390,11,通达电气,15.96,1.5944040000000002,9.99,False,
601579,会稽山,25.81,10.017050298,301028.0,12,17,601579,12,会稽山,25.81,2.586162,10.02,False,
601086,国芳集团,14.34,9.969325153,289700.5,13,17,601086,7,国芳集团,14.34,1.4296980000000001,9.97,False,
603607,京华激光,33.5,4.556803995,287085.5,14,17,603607,33,京华激光,33.5,1.5275999999999998,4.56,False,
603332,苏州龙杰,21,6.2215478,261359.5,15,17,603332,47,苏州龙杰,21.0,1.3062,6.22,False,
002342,巨力索具,5.59,10.039370079,232906.5,16,33,002342,10,巨力索具,5.59,0.561236,10.04,False,
002277,友阿股份,6.59,10.016694491,232157.5,17,33,002277,18,友阿股份,6.59,0.6603179999999998,10.02,False,
600192,长城电工,8.9,10.012360939,222383.0,18,17,600192,27,长城电工,8.9,0.89089,10.01,False,
002190,成飞集成,32.78,-9.696969697,221646.5,19,33,002190,42,成飞集成,32.78,-3.17966,-9.7,False,
002347,泰尔股份,8.56,10.025706941,221506.0,20,33,002347,20,泰尔股份,8.56,0.8585679999999999,10.03,False,
600610,中毅达,14.52,-7.633587786,217535.0,21,17,600610,45,中毅达,14.52,-1.107876,-7.63,False,
002882,金龙羽,25.48,-2.562141491,216780.5,22,33,002882,34,金龙羽,25.48,-0.6522880000000001,-2.56,False,
600495,晋西车轴,5.25,10.062893082,213460.0,23,17,600495,24,晋西车轴,5.25,0.52815,10.06,False,
002574,明牌珠宝,7.45,10.044313146,207291.5,24,33,002574,14,明牌珠宝,7.45,0.74798,10.04,False,
605136,丽人丽妆,15.42,2.25464191,201241.0,25,17,605136,70,丽人丽妆,15.42,0.34695,2.25,False,
002229,鸿博股份,17.43,4.747596154,196537.5,26,33,002229,52,鸿博股份,17.43,0.827925,4.75,False,
000539,粤电力A,4.79,10.114942529,193678.0,27,33,000539,21,粤电力Ａ,4.79,0.48426899999999995,10.11,False,
000678,襄阳轴承,17.48,9.25,193562.5,28,33,000678,32,襄阳轴承,17.48,1.6169,9.25,False,
605388,均瑶健康,8.46,10.013003901,193055.5,29,17,605388,31,均瑶健康,8.46,0.846846,10.01,False,
002195,岩山科技,5.64,6.015037594,189627.0,30,33,002195,28,岩山科技,5.64,0.33952799999999994,6.02,False,
603693,江苏新能,15.27,10.014409222,189230.0,31,17,603693,46,江苏新能,15.27,1.528527,10.01,False,
600644,乐山电力,16.18,-3.57568534,185451.5,32,17,600644,62,乐山电力,16.18,-0.579244,-3.58,False,
600678,四川金顶,8.5,9.961190168,181316.5,33,17,600678,23,四川金顶,8.5,0.8466000000000001,9.96,False,
600805,悦达投资,5.34,10.103092784,176526.0,34,17,600805,44,悦达投资,5.34,0.5393399999999999,10.1,False,
000826,启迪环境,2.07,10.106382979,172069.0,35,33,000826,26,启迪环境,2.07,0.209277,10.11,False,
605167,利柏特,11.73,10.037523452,171350.5,36,17,605167,17,利柏特,11.73,1.177692,10.04,False,
603900,莱绅通灵,13.5,-2.597402597,170907.5,37,17,603900,66,莱绅通灵,13.5,-0.35100000000000003,-2.6,False,
600105,永鼎股份,8.83,7.03030303,167016.0,38,17,600105,37,永鼎股份,8.83,0.620749,7.03,False,
002907,华森制药,17.09,9.974259974,166745.5,39,33,002907,50,华森制药,17.09,1.7038730000000002,9.97,False,
002278,神开股份,8.91,10,166497.5,40,33,002278,19,神开股份,8.91,0.8909999999999999,10.0,False,
002177,御银股份,5.24,10.084033613,164122.5,41,33,002177,16,御银股份,5.24,0.528192,10.08,False,
603518,锦泓集团,9.99,10.022026432,161283.0,42,17,603518,49,锦泓集团,9.99,1.000998,10.02,False,
002094,青岛金王,8.9,-1.111111111,160124.0,43,33,002094,68,青岛金王,8.9,-0.09879000000000002,-1.11,False,
300740,水羊股份,16.91,20.014194464,155787.0,44,33,300740,22,水羊股份,16.91,3.3836910000000002,20.01,False,
002651,利君股份,11.87,-10.007581501,154905.5,45,33,002651,85,利君股份,11.87,-1.1881869999999999,-10.01,False,
603366,日出东方,10.6,9.958506224,154493.5,46,17,603366,29,日出东方,10.6,1.05576,9.96,False,
002103,广博股份,12.38,7.558644657,154416.5,47,33,002103,60,广博股份,12.38,0.935928,7.56,False,
603577,汇金通,11.32,10.009718173,153546.0,48,17,603577,65,汇金通,11.32,1.133132,10.01,False,
603056,德邦股份,17.19,9.980806142,153207.5,49,17,603056,38,德邦股份,17.19,1.7155620000000003,9.98,False,
000561,烽火电子,9.91,-8.155699722,149072.0,50,33,000561,88,烽火电子,9.91,-0.808656,-8.16,False,
002829,星网宇达,21.54,10.010214505,147414.5,51,33,002829,15,星网宇达,21.54,2.156154,10.01,False,
300575,中旗股份,7.74,8.707865169,141807.0,52,33,300575,69,中旗股份,7.74,0.674154,8.71,False,
600793,宜宾纸业,33.22,-9.997290707,140650.0,53,17,600793,86,宜宾纸业,33.22,-3.322,-10.0,False,
000565,渝三峡A,11.45,-2.387041773,138753.5,54,33,000565,92,渝三峡Ａ,11.45,-0.273655,-2.39,False,
002165,红宝丽,10.9,-5.134899913,138438.0,55,33,002165,94,红 宝 丽,10.9,-0.5591700000000001,-5.13,False,
300815,玉禾田,22.32,20,138243.5,56,33,300815,39,玉禾田,22.32,4.4639999999999995,20.0,False,
001230,劲旅环境,23.23,9.990530303,137873.0,57,33,001230,51,劲旅环境,23.23,2.320677,9.99,False,
605033,美邦股份,23.44,9.995307367,136970.5,58,17,605033,63,美邦股份,23.44,2.344,10.0,False,
603192,汇得科技,26.3,-7.719298246,136466.0,59,17,603192,90,汇得科技,26.3,-2.03036,-7.72,False,
002131,利欧股份,3.72,3.910614525,135739.5,60,33,002131,77,利欧股份,3.72,0.14545200000000003,3.91,False,
002594,比亚迪,362.88,-2.559007545,134796.0,61,33,002594,74,比亚迪,362.88,-9.289728,-2.56,False,
300997,欢乐家,20.87,20.011500863,133686.0,62,33,300997,41,欢乐家,20.87,4.176087000000001,20.01,False,
603639,海利尔,16.28,10,130813.0,63,17,603639,30,海利尔,16.28,1.6280000000000001,10.0,False,
002250,联化科技,7.6,9.98552822,130475.0,64,33,002250,43,联化科技,7.6,0.7592399999999999,9.99,False,
600468,百利电气,6.48,-1.06870229,125413.5,66,17,600468,82,百利电气,6.48,-0.06933600000000001,-1.07,False,
002549,凯美特气,10.85,-3.897254207,125325.5,67,33,002549,91,凯美特气,10.85,-0.42314999999999997,-3.9,False,
300422,博世科,5.76,20,125204.5,68,33,300422,53,博世科,5.76,1.152,20.0,False,
605188,国光连锁,14.06,10.015649452,125064.0,69,17,605188,40,国光连锁,14.06,1.4088120000000002,10.02,False,
002194,武汉凡谷,15.4,3.010033445,124566.5,70,33,002194,87,武汉凡谷,15.4,0.46354,3.01,False,
002510,天汽模,7.08,-2.344827586,123986.0,71,33,002510,95,天汽模,7.08,-0.16567199999999999,-2.34,False,
002590,万安科技,15.58,5.914343984,121655.0,72,33,002590,89,万安科技,15.58,0.920778,5.91,False,
002973,侨银股份,13.45,9.975470155,118609.0,73,33,002973,59,侨银股份,13.45,1.34231,9.98,False,
000564,供销大集,2.56,5.785123967,104483.0,78,33,000564,76,供销大集,2.56,0.148224,5.79,False,
002258,利尔化学,12.09,4.494382022,103780.5,79,33,002258,75,利尔化学,12.09,0.542841,4.49,False,
603839,安正时尚,8.17,9.959623149,102595.0,80,17,603839,67,安正时尚,8.17,0.8137320000000001,9.96,False,
002570,贝因美,6.65,0.301659125,101138.0,84,33,002570,98,贝因美,6.65,0.019950000000000002,0.3,False,
301082,久盛电气,22.66,13.130304543,98996.5,85,33,301082,83,久盛电气,22.66,2.975258,13.13,False,
000533,顺钠股份,7.14,6.092124814,96543.0,86,33,000533,100,顺钠股份,7.14,0.434826,6.09,False,
002550,千红制药,7.07,9.953343701,94827.0,87,33,002550,48,千红制药,7.07,0.7034649999999999,9.95,False,
300703,创源股份,22.2,11,93815.0,88,33,300703,79,创源股份,22.2,2.4419999999999997,11.0,False,
000881,中广核技,8.47,7.079646018,89428.0,93,33,000881,84,中广核技,8.47,0.5996760000000001,7.08,False,
002946,新乳业,19.97,10.027548209,87579.0,96,33,002946,36,新乳业,19.97,2.0029909999999997,10.03,False,
603006,联明股份,13.57,9.967585089,86381.0,97,17,603006,55,联明股份,13.57,1.352929,9.97,False,
