股票代码,股票简称,最新价
603123,翠微股份,11.25
002104,恒宝股份,8.91
002177,御银股份,6.34
002537,海联金汇,8.33
300468,四方精创,24.79
002094,青岛金王,9.60
002465,海格通信,13.64
002639,雪人股份,11.67
603686,福龙马,17.80
300546,雄帝科技,25.00
600468,百利电气,7.01
002735,王子新材,19.67
002471,中超控股,5.45
002366,融发核电,7.42
000903,云内动力,5.42
002907,华森制药,20.63
002878,元隆雅图,19.15
300773,拉卡拉,24.56
002250,联化科技,9.20
603056,德邦股份,20.80
603011,合锻智能,20.40
603390,通达电气,18.00
300204,舒泰神,26.50
000566,海南海药,6.12
002431,棕榈股份,2.97
002900,哈三联,15.03
300872,天阳科技,19.50
002657,中科金财,22.02
002173,创新医疗,11.62
002875,安奈儿,16.90
002743,富煌钢构,8.25
003009,中天火箭,41.04
002987,京北方,14.36
603879,永悦科技,5.40
002229,鸿博股份,17.61
600212,绿能慧充,8.66
600551,时代出版,9.77
002162,悦心健康,4.52
300149,睿智医药,10.27
002190,成飞集成,33.16
301024,霍普股份,45.56
603333,尚纬股份,8.96
003035,南网能源,4.96
002310,东方园林,2.37
002195,岩山科技,5.65
603906,龙蟠科技,11.51
002389,航天彩虹,21.70
002365,永安药业,19.95
002734,利民股份,18.08
601086,国芳集团,14.19
002082,万邦德,6.26
000826,启迪环境,2.44
002594,比亚迪,352.30
603017,中衡设计,9.81
001212,中旗新材,57.53
002345,潮宏基,14.37
605136,丽人丽妆,14.13
600476,湘邮科技,19.81
600676,交运股份,5.30
000555,神州信息,12.09
002313,日海智能,9.92
603194,中力股份,41.24
002550,千红制药,7.76
301322,绿通科技,30.39
300065,海兰信,18.34
600495,晋西车轴,5.31
600794,保税科技,4.43
600192,长城电工,9.30
002278,神开股份,9.44
603359,东珠生态,7.85
002982,湘佳股份,16.38
002097,山河智能,7.76
837748,路桥信息,49.89
688070,纵横股份,47.11
603477,巨星农牧,21.85
603607,京华激光,30.22
600543,莫高股份,6.00
003040,楚天龙,14.14
603127,昭衍新药,19.10
300180,华峰超纤,7.70
600446,金证股份,15.98
300348,长亮科技,13.90
600391,航发科技,26.50
